 pays	 pays_lib	 syst	 syst_lib	 sect	 sect_lib	 agglo	 agglo_lib	 annee	 mois	 pue	 fm	 cap	 obs_sp_min	 obs_sp_max	 pue_sp_ecart_type	 pue_sp	cap_sp	 nbre_enquete_sp	 esp_lib	 eco_lib	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	7	25.237	318.42	8036	0.14	2.84	0.708	0.592	188.5	24	Hemichromis fasciatus	Estuarienne d'origine continentale	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	7	25.237	318.42	8036	0.04	6.23	1.361	1.031	328.3	25	Mormyrus rume	Continentale occasionnelle	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	7	25.237	318.42	8036	0.04	0.06	0.011	0.003	1	2	Ctenopoma kingsleyae	Continentale occasionnelle	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	7	25.237	318.42	8036	0.38	0.58	0.109	0.027	8.6	2	Distichodus brevipinnis	Continentale	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	7	25.237	318.42	8036	0.13	0.41	0.077	0.028	8.9	5	Raiamas senegalensis	Continentale	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	7	25.237	318.42	8036	0.45	0.73	0.135	0.033	10.5	2	Clarias anguillaris	Continentale occasionnelle	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	7	25.237	318.42	8036	0.52	0.67	0.134	0.033	10.5	2	Malapterurus electricus	Continentale occasionnelle	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	7	25.237	318.42	8036	0.13	2.02	0.373	0.172	54.8	9	Bagrus docmak	Continentale	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	7	25.237	318.42	8036	0.09	2.4	0.654	0.39	124.2	13	Brycinus nurse	Continentale occasionnelle	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	7	25.237	318.42	8036	0.4	3.08	0.649	0.449	143	14	Mormyrops deliciosus	Continentale	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	7	25.237	318.42	8036	0.04	8.17	1.56	1.115	355	24	Synodontis spp.		
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	7	25.237	318.42	8036	0.1	14.25	2.354	1.891	602.1	31	Lates niloticus	Continentale occasionnelle	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	7	25.237	318.42	8036	0.47	12.94	2.39	2.187	696.4	26	Labeo coubie	Continentale occasionnelle	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	7	25.237	318.42	8036	0.18	14.42	3.128	2.572	819	25	Synodontis schall	Continentale occasionnelle	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	7	25.237	318.42	8036	0.06	27.55	6.577	3.369	1072.8	17	Sarotherodon galilaeus	Continentale	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	7	25.237	318.42	8036	0.05	25.3	6.352	4.269	1359.3	27	Hydrocynus forskahlii	Continentale occasionnelle	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	8	30.649	326.878	10018.5	0.41	0.41	0.062	0.01	3.3	1	Distichodus brevipinnis	Continentale	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	8	30.649	326.878	10018.5	0.31	0.49	0.085	0.019	6.2	2	Tetraodon lineatus	Continentale	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	8	30.649	326.878	10018.5	0.89	1.82	0.299	0.065	21.2	2	Labeo senegalensis	Continentale	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	8	30.649	326.878	10018.5	0.26	1.35	0.241	0.081	26.5	5	Raiamas senegalensis	Continentale	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	8	30.649	326.878	10018.5	0.15	2.75	0.751	0.447	146.1	18	Synodontis spp.		
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	8	30.649	326.878	10018.5	0.11	3.71	0.994	0.629	205.6	16	Brycinus nurse	Continentale occasionnelle	
